stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\清大\大一下\程設二\mini project 2\mini project 2\TowerDefense\bin\Debug\allegro5.cfg r
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.02739] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.11275] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.11383] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.11405] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.11410] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.11411] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.11412] added dtor for voice 0000000000C8D640, func 0000000061BEEBB3
dtor     D               dtor.c:196  _al_register_destructor          [   0.11414] added dtor for mixer 0000000000C8DAE0, func 0000000061BEA1B3
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.11416] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.11417] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.11901] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.11907] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.11924] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.11928] added dtor for sample_instance 0000000000C8E810, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12038] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12041] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12042] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12044] added dtor for sample_instance 0000000000C8DD20, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12045] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12046] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12047] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12047] added dtor for sample_instance 0000000000C8DE40, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12048] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12049] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12050] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12050] added dtor for sample_instance 0000000000C8EC10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12051] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12052] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12052] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12053] added dtor for sample_instance 0000000000C8ED30, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12054] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12063] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12064] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12065] added dtor for sample_instance 0000000000C8EE50, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12066] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12067] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12067] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12068] added dtor for sample_instance 0000000002C1FFF0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12069] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12070] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12070] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12071] added dtor for sample_instance 0000000002C20110, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12071] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12072] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12073] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12073] added dtor for sample_instance 0000000002C20340, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12074] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12075] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12075] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12076] added dtor for sample_instance 0000000002C20460, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12077] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12077] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12078] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12078] added dtor for sample_instance 0000000002C20580, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12079] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12080] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12080] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12081] added dtor for sample_instance 0000000002C20AB0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12082] sample matrix:
